rental_price,GLA,n_res_benefits,population,d_school,d_transfer,d_mainstreet,n_business,n_earners,d_supermarket,avg_income,%_single_family_homes,k20_high_income,households_with_children,single_households,household_size,k40_low_income,WOZ,n_owner_occupied,urbanity_score,supermarket_1km,k0_k15,k15_k25,k25_k45,k45_k65,k65+
145.0,800.0,960.0,5710,0.3,1.8,1.6,965.0,4500.0,0.4,26.9,22.0,15.5,245,3385,1.3,51.8,253.0,24.0,1.0,8.3,255,2155,1830,840,620
113.0,1000.0,390.0,2160,0.2,1.0,0.6,220.0,1700.0,0.4,26.5,2.0,16.2,165,1050,1.4,43.0,229.0,33.0,1.0,3.0,155,525,940,345,190
145.42897998093423,1049.0,640.0,5975,0.3,2.9,1.2,550.0,5000.0,0.5,24.9,14.0,15.6,385,2855,1.4,50.7,226.0,30.0,1.0,4.7,455,2275,2110,745,380
195.64780701754387,2280.0,640.0,5975,0.3,2.9,1.2,550.0,5000.0,0.5,24.9,14.0,15.6,385,2855,1.4,50.7,226.0,30.0,1.0,4.7,455,2275,2110,745,380
105.0,1400.0,0.0,650,,,,200.0,,0.4,,0.0,,70,175,1.8,,321.0,47.0,2.0,,70,60,265,165,90
139.0,2600.0,0.0,1505,,,,215.0,,0.3,,21.0,,200,405,1.8,,195.0,19.0,2.0,,180,150,475,325,370
155.0,1608.0,950.0,1355,0.5,28.1,1.3,345.0,1300.0,0.3,23.3,14.0,6.4,70,500,1.5,56.3,202.0,45.0,2.0,3.0,40,75,110,245,880
134.0,2400.0,1140.0,3310,0.5,27.5,2.0,260.0,2700.0,0.8,21.5,74.0,7.9,510,660,2.1,52.5,143.0,51.0,3.0,1.9,515,390,795,935,680
134.0,1000.0,1140.0,3310,0.5,27.5,2.0,260.0,2700.0,0.8,21.5,74.0,7.9,510,660,2.1,52.5,143.0,51.0,3.0,1.9,515,390,795,935,680
154.0,700.0,410.0,815,0.4,27.5,1.1,65.0,800.0,0.6,21.1,61.0,8.1,65,305,1.5,59.8,163.0,14.0,3.0,3.7,50,85,170,230,280
